Semester,Kurs_ID,Name,ECTS
1,DLBDSIPWP01_D,Einführung in die Programmierung mit Python,5
1,DLBWIRITT01,Einführung in das wissenschaftliche Arbeiten für IT und Technik,5
1,DLBDSOOFPP01_D,Objektorientierte und funktionale Programmierung mit Python,5
1,DLBCSEINF01_D,Einführung in die Netzwerkforensik,5
